Title;IMDb
Avengers: Infinity War;8.5
Marvel's The Avengers;8.1
Guardians of the Galaxy;8.1
Iron Man;7.9
Thor: Ragnarok;7.9
Captain America: The Winter Soldier;7.8
Captain America: Civil War;7.8
Guardians of the Galaxy Vol. 2;7.7
Doctor Strange;7.5
Spider-Man: Homecoming;7.5
Avengers: Age of Ultron;7.4
Ant-Man;7.3
Black Panther;7.3
Iron Man 3;7.2
Captain Marvel;7.2
Ant-Man and the Wasp;7.1
Iron Man 2;7.0
Thor;7.0
Thor: The Dark World;7.0
Captain America: The First Avenger;6.9
The Incredible Hulk;6.8
